,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,atr_pct,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,macd_ls_signal,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,range_pct,close_below_1/2,strong_rejection,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
122,254.3,258.3,242.4,244.85,1.90326,NSE:20MICRONS-EQ,2025-07-30,248.16298470784028,236.99002434574714,216.69478517128113,1.047145277076274,1.093658179906933,1.013530670646683,0.9678988129293329,0.8850103539770517,56.06785865127409,17.022142857142857,0.06952069780331982,0.5912577506160138,-3.335965258586663,6.493771696957324,0.15408805031446463,0.3947887879984209,-4.193545862668937,-10.130870886977899,-13.444760659533125,2.5837903785328615,7.271912648491033,0,9.450000000000017,15.900000000000006,4.0,2.4499999999999886,0,1,0.5943396222677118,0.25157232688580344,0.1540880502175539,0,0,0,0.06493771696957323,True,1,0.5052728715711723,233.6,8,4.594649785583011,249.75,3,2.0012252399428245,,,,
245,1066.1,1085.0,1057.9,1060.2,9.95837,NSE:360ONE-EQ,2025-07-30,1139.5190963384182,1118.2916016467786,1039.0144407667967,1.0189820746756753,1.076300345567358,1.0748152200890568,1.0547930594668729,0.980017393667984,19.856244384546272,34.12142857142856,0.03218395450993073,0.6188026341743931,-2.0509977827051036,2.55612148651197,0.08487084870848569,-1.5059127864006079,-3.0700872204648237,-5.7942992489134735,-7.402102309410094,-0.18362747874502255,1.687151163772117,0,5.899999999999864,27.09999999999991,18.90000000000009,2.2999999999999545,0,1,0.2177121770414303,0.697416973912398,0.08487084867716803,0,0,1,0.0255612148651197,True,1,0.04126101013291448,997.6,22,5.904546312016603,1067.25,6,0.6649688737973924,,,,
368,1013.0,1023.9,993.0,995.3,0.87559,NSE:63MOONS-EQ,2025-07-30,1029.9369640598597,964.4686507050418,830.5001705249013,1.067880188025769,1.1613105992446315,1.0348005265345723,0.9690230590827307,0.8344219537073257,29.06050955414011,45.750000000000036,0.04596604038983225,0.23358044876235895,-2.037401574803154,3.1045915804280093,0.07443365695792739,-0.2952755905511811,-4.529409507731269,-8.566525592278174,-10.89437765277904,-0.11931892875888025,2.8148310367945517,0,17.700000000000045,30.899999999999977,10.899999999999977,2.2999999999999545,0,1,0.5728155337952072,0.35275080894732935,0.07443365693383883,0,0,0,0.031045915804280094,True,1,0.13024141706380343,991.2,10,0.41193609966843253,1045.065,1,5.00000000000001,,,,
491,509.1,519.85,504.05,507.55,6.64455,NSE:AADHARHFC-EQ,2025-07-30,491.2959262752063,470.51049149642,435.14706738871394,1.0441763470835261,1.0812677523484633,0.9679754236532485,0.9270229366494336,0.8573481773001949,71.7018732562774,19.524999999999995,0.038469116343217404,0.8060187292863721,-0.3044588489491281,3.112993793714907,0.221518987341772,0.0,-1.1721868489203102,-4.204055647902772,-5.985912427512091,2.057867041854072,4.1610871581313225,0,1.5500000000000114,15.800000000000011,10.75,3.5,0,1,0.09810126576069604,0.6803797464048225,0.2215189872015701,1,0,0,0.03112993793714907,True,1,0.6922859101409743,491.3,3,3.2016550093586837,532.9275,1,5.0,,,,
614,540.5,549.3,513.8,522.25,4.47078,NSE:AARTIDRUGS-EQ,2025-07-30,512.9153885503024,481.18798453107826,428.2021209571913,1.0659355699626265,1.1237403108967414,0.9821261628536188,0.9213747908685079,0.819917895561879,64.53601557430244,24.214285714285705,0.04636531491486014,0.8631933911696859,-3.1165940079769885,6.797510770703687,0.2380281690140858,0.2689917447361183,-1.992981402593504,-4.588677174304838,-6.12469624216576,0.7478976050261824,2.519174373680968,0,18.25,35.5,8.799999999999955,8.450000000000045,0,1,0.514084506897441,0.24788732387383328,0.2380281689470356,0,0,0,0.06797510770703687,True,1,0.6066097565847574,494.0,1,5.409286740067018,548.3625000000001,1,5.000000000000012,,,,
737,445.6,450.6,441.5,445.5,16.72861,NSE:AARTIIND-EQ,2025-07-30,445.58088620764977,450.9921713667527,443.2467528167847,0.9880013767363106,1.0174742815389999,1.0001815627556672,1.0123281063226772,0.9949422060982821,48.589164785553045,10.985714285714275,0.02465929132595797,1.2736657897057415,0.7690567744854053,2.0426487093153813,0.43956043956043844,0.7916760913820401,1.948190638921093,-0.3387290111983745,-1.7010173742440564,4.342530804077664,5.878787998819611,1,0.10000000000002274,9.100000000000023,5.0,4.0,0,1,0.010989010976937623,0.5494505488467563,0.439560439077405,1,0,0,0.02042648709315381,False,0,0.46303429426806,433.35,16,2.727272727272722,463.25,19,3.984287317620651,,,,
860,252.4,252.65,246.6,248.8,33.90277,NSE:ABCAPITAL-EQ,2025-07-30,263.1317500844086,252.0087261926165,211.20736103268712,1.0441374553168865,1.193181548978375,1.0576034971238288,1.0128968094558541,0.8489041842149804,24.505494505494482,6.321428571428577,0.025407671107028042,0.5742867155779391,-1.4067763027541047,2.431672025723477,0.36363636363636576,0.01981375074302016,-3.79459682408744,-7.2735593983415665,-9.299873768366657,-0.0444068524755091,2.4221802751127863,0,3.5999999999999943,6.050000000000011,0.25,2.200000000000017,0,1,0.5950413213305081,0.04132231398128535,0.36363636303531394,0,0,0,0.02431672025723477,False,0,0.0,208.8,1,16.077170418006432,273.75,16,10.028135048231507,,,,
983,500.0,512.0,490.0,493.9,22.21521,NSE:ABDL-EQ,2025-07-30,467.32511887618205,437.75406655876793,392.45873254704793,1.0675517478338359,1.115414259526739,0.9461938021384533,0.8863212523967766,0.7946117281778659,67.21199727334698,19.357142857142858,0.039192433401787526,3.76631797147879,1.2712733237646072,4.4543429844097995,0.17727272727272625,2.5220422390814052,2.3945267958950995,-1.8681997930867413,-4.32879745811746,7.044406198302419,10.134246042001765,1,6.100000000000023,22.0,12.0,3.8999999999999773,0,1,0.27727272714669526,0.5454545452066115,0.17727272719214773,0,0,0,0.044543429844097995,True,1,0.7907698163008179,454.8,2,7.916582304110137,505.9,4,2.429641627859891,,,,
1106,874.2,886.0,872.2,880.15,2.41863,NSE:ABSLAMC-EQ,2025-07-30,852.0214908321763,803.1506181503952,720.8894886355373,1.0608489510900554,1.1141105964390707,0.9680412325537423,0.9125156145547864,0.8190529894171872,60.02687269062815,22.999999999999993,0.026131909333636304,0.6656888891775786,0.6806222832303742,1.5679145600181736,0.5760869565217361,0.0,1.341782159977596,-0.2788958087149413,-1.2545010830796814,3.016009275790974,4.078278438179004,0,5.949999999999932,13.799999999999955,5.850000000000023,2.0,1,0,0.43115941997741714,0.42391304317108053,0.14492753612686457,0,0,0,0.015679145600181736,False,0,0.7314609295710952,849.05,10,3.533488609896043,901.25,3,2.397318638868377,,,,
1229,1836.5,1838.6,1805.0,1811.2,9.09591,NSE:ACC-EQ,2025-07-30,1907.9892668911136,1915.4904957488866,1943.4741732604903,0.996083912254109,0.9856012094749597,1.0534393037163834,1.0575808832535813,1.073031235236578,10.17161992465472,37.18571428571431,0.020530981827359934,2.416041206128603,-0.8865054175331096,1.8551236749116555,0.18452380952381137,0.4979752654043947,-2.997065061376626,-5.905832477262731,-7.617279690011891,0.097278726819216,2.1096074925179638,0,25.299999999999955,33.59999999999991,2.099999999999909,6.2000000000000455,0,1,0.7529761902520911,0.06249999998139627,0.18452380946889357,0,0,0,0.018551236749116556,True,1,0.0,1778.45,6,1.8081934628975265,1813.4,7,0.12146643109540887,,,,
