symbol,date,close,prediction,probability,confidence
NSE:20MICRONS-EQ,2025-01-30,193.31,1.0,0.58,0.58
NSE:360ONE-EQ,2025-01-30,1007.15,1.0,0.57,0.57
NSE:3IINFOLTD-EQ,2025-01-30,29.48,1.0,0.55,0.55
NSE:63MOONS-EQ,2025-01-30,740.2,1.0,0.58,0.58
NSE:A2ZINFRA-BE,2025-01-30,20.0,1.0,0.57,0.57
NSE:AADHARHFC-EQ,2025-01-30,387.4,1.0,0.61,0.61
NSE:AARTIDRUGS-EQ,2025-01-30,407.95,1.0,0.54,0.54
NSE:AARTIIND-EQ,2025-01-30,438.0,1.0,0.62,0.62
NSE:AARTIPHARM-EQ,2025-01-30,586.9,1.0,0.58,0.58
NSE:AAVAS-EQ,2025-01-30,1703.85,1.0,0.58,0.58
NSE:ABAN-EQ,2025-01-30,43.61,1.0,0.59,0.59
NSE:ABB-EQ,2025-01-30,5719.35,1.0,0.54,0.54
NSE:ABCAPITAL-EQ,2025-01-30,177.18,1.0,0.56,0.56
NSE:ABDL-EQ,2025-01-30,394.4,1.0,0.53,0.53
NSE:ABFRL-EQ,2025-01-30,265.7,1.0,0.57,0.57
NSE:ABREL-EQ,2025-01-30,1990.75,1.0,0.59,0.59
NSE:ABSLAMC-EQ,2025-01-30,654.7,1.0,0.58,0.58
NSE:ABSLBANETF-EQ,2025-01-30,49.99,1.0,0.56,0.56
NSE:ACC-EQ,2025-01-30,1993.5,1.0,0.58,0.58
NSE:ACE-EQ,2025-01-30,1293.6,1.0,0.61,0.61
NSE:ACI-EQ,2025-01-30,605.45,1.0,0.55,0.55
NSE:ACLGATI-EQ,2025-01-30,68.4,1.0,0.62,0.62
NSE:ACMESOLAR-EQ,2025-01-30,210.35,1.0,0.57,0.57
NSE:ACUTAAS-EQ,2025-01-30,1179.33,1.0,0.53,0.53
NSE:ADANIENSOL-EQ,2025-01-30,740.25,1.0,0.58,0.58
NSE:ADANIENT-EQ,2025-01-30,2252.6,1.0,0.55,0.55
NSE:ADANIGREEN-EQ,2025-01-30,971.85,1.0,0.58,0.58
NSE:ADANIPORTS-EQ,2025-01-30,1077.05,1.0,0.6,0.6
NSE:ADANIPOWER-EQ,2025-01-30,508.8,1.0,0.59,0.59
NSE:ADFFOODS-EQ,2025-01-30,264.95,1.0,0.54,0.54
NSE:ADSL-EQ,2025-01-30,230.51,1.0,0.59,0.59
NSE:ADVENZYMES-EQ,2025-01-30,329.75,1.0,0.59,0.59
NSE:AEGISLOG-EQ,2025-01-30,693.9,1.0,0.58,0.58
NSE:AEROENTER-EQ,2025-01-30,114.69,1.0,0.59,0.59
NSE:AEROFLEX-EQ,2025-01-30,231.33,1.0,0.58,0.58
NSE:AFCONS-EQ,2025-01-30,453.1,1.0,0.55,0.55
NSE:AFFLE-EQ,2025-01-30,1499.85,1.0,0.59,0.59
NSE:AGI-EQ,2025-01-30,736.2,1.0,0.54,0.54
NSE:AGROPHOS-EQ,2025-01-30,40.03,1.0,0.57,0.57
NSE:AGSTRA-BE,2025-01-30,53.61,1.0,0.61,0.61
NSE:AHLUCONT-EQ,2025-01-30,826.6,1.0,0.51,0.51
NSE:AIIL-EQ,2025-01-30,1641.4,1.0,0.53,0.53
NSE:AIRAN-EQ,2025-01-30,30.2,1.0,0.61,0.61
NSE:AJANTPHARM-EQ,2025-01-30,2676.85,1.0,0.55,0.55
NSE:AJMERA-EQ,2025-01-30,941.2,1.0,0.55,0.55
NSE:AKUMS-EQ,2025-01-30,557.95,1.0,0.55,0.55
NSE:ALANKIT-EQ,2025-01-30,19.58,1.0,0.52,0.52
NSE:ALEMBICLTD-EQ,2025-01-30,115.5,1.0,0.51,0.51
NSE:ALIVUS-EQ,2025-01-30,1167.0,1.0,0.57,0.57
