,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,atr_pct,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,macd_ls_signal,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,range_pct,close_below_1/2,strong_rejection,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
123,239.95,246.51,231.36,234.47,3.71909,NSE:20MICRONS-EQ,2025-07-31,246.8588909261412,236.8911998616002,216.8716529805221,1.0420770846294183,1.0923105745077533,1.0528378510092602,1.0103262671625377,0.9249441420246604,53.63997575594316,17.710714285714282,0.07553509739290434,1.1410934153354335,-4.239330202164589,6.461380986906631,0.2052805280528046,-2.0012252399428245,-7.11484371905084,-13.213928055986079,-16.59728000491731,-0.0937066236164,4.800391614752899,0,5.47999999999999,15.149999999999977,6.560000000000002,3.109999999999985,0,1,0.361716171378405,0.433003300044223,0.20528052791730592,0,0,0,0.06461380986906631,True,1,0.37063462411621495,219.88,24,6.222544461978079,235.6,21,0.48193798780227554,,,,
247,1050.1,1061.9,1032.0,1052.7,12.43584,NSE:360ONE-EQ,2025-07-31,1131.2506109728545,1115.7193819743559,1039.1506154855351,1.0139203721378531,1.073683992818543,1.0746182302392462,1.0598645216817286,0.9871289213313718,19.242490204614725,34.035714285714285,0.0323318270026734,0.7641911213737064,-0.7074136955291455,2.840315379500341,0.6923076923076917,-0.9526504433125953,-1.9607234436214354,-4.927026427703693,-6.671554975835544,1.1966396089050113,3.2509551064808067,0,2.6000000000001364,29.90000000000009,9.200000000000045,18.09999999999991,1,0,0.08695652171005228,0.30769230758940114,0.6053511703660984,1,0,0,0.02840315379500341,False,0,0.07422890924485775,997.6,22,5.234159779614327,1067.25,7,1.3821601595896222,,,,
371,981.0,1021.0,972.1,1010.8,1.41914,NSE:63MOONS-EQ,2025-07-31,1028.1143960541588,966.2855663636676,832.2941986788824,1.0639860842826887,1.1609903900537484,1.0171293985498207,0.9559611855596237,0.8234014628797808,36.063569682151574,45.53571428571431,0.04504918310814633,0.3801572458136066,1.5573194011855724,4.837752275425403,0.7914110429447843,-1.436752737867975,-0.9815638408338487,-4.697647913813785,-6.857218049574669,3.036078121489596,5.685300375021784,0,29.799999999999955,48.89999999999998,10.200000000000045,8.899999999999977,1,0,0.6094069528406114,0.20858895701255953,0.18200408994233006,0,0,0,0.04837752275425403,False,0,0.2447915953028356,909.0,2,10.071230708349818,1061.34,1,4.9999999999999964,,,,
495,501.0,509.55,499.55,507.05,3.96541,NSE:AADHARHFC-EQ,2025-07-31,492.79631424899617,471.94341339852116,435.86251945449794,1.0441851719050612,1.0827804464333848,0.9718889936870055,0.9307630675446625,0.8596046138536593,72.21999197109596,19.360714285714277,0.03818304760026482,0.47976340926515254,-0.09851246182642104,1.972192091509713,0.75,-1.2905132499261178,-1.2099131044694875,-4.242398833194448,-6.02456575861742,2.0209216832234587,4.124718844777248,0,6.050000000000011,10.0,2.5,1.4499999999999886,1,0,0.604999999395001,0.24999999974999998,0.14499999985499884,0,0,0,0.01972192091509713,False,0,0.6691137093979792,491.3,3,3.106202544127798,532.4025,1,5.0000000000000036,,,,
619,517.3,525.5,503.95,506.75,3.06907,NSE:AARTIDRUGS-EQ,2025-07-31,512.3282086883688,482.1904165102517,428.98369189294067,1.0625018481209827,1.124029714002717,1.0110078119158734,0.9515351090483506,0.8465391058568144,60.000000000000014,24.54999999999999,0.04844597927972371,0.5880856075222655,-2.967927237912877,4.252590034533796,0.129930394431555,-0.9478219243657339,-3.9263640844803467,-7.1409566378044715,-9.021609320208748,-0.4812250736645255,1.7734590082414792,0,10.549999999999955,21.55000000000001,8.200000000000045,2.8000000000000114,0,1,0.4895591645060026,0.38051044065869777,0.12993039437126244,0,0,0,0.04252590034533796,True,1,0.44762214994058974,494.0,1,2.5160335471139614,532.0875,1,4.999999999999996,,,,
743,439.95,442.4,416.0,420.05,71.84197,NSE:AARTIIND-EQ,2025-07-31,443.14937323549265,449.77875288178205,443.0159393559212,0.9852607985508114,1.0152653954972657,1.054991961041525,1.0707743194424046,1.0546742991451523,40.214852872489494,12.292857142857132,0.029265223527811288,5.012758390177808,-5.712682379349044,6.2849660754672,0.15340909090909147,-1.2457912457912483,-3.056435978705728,-5.926071471550204,-7.615559910629434,-0.00622109452540862,1.9760278040959767,1,19.899999999999977,26.399999999999977,2.4499999999999886,4.050000000000011,0,1,0.7537878785023528,0.09280303026787728,0.15340909085098195,0,0,0,0.06284966075467201,True,1,0.08697061051600495,412.2,7,1.8688251398643072,433.35,10,3.166289727413406,,,,
867,246.8,260.2,243.0,256.65,86.49553,NSE:ABCAPITAL-EQ,2025-07-31,262.5144405525602,252.19073693016097,211.65952659455093,1.0409360936411323,1.1914924926259072,1.0228499534485105,0.9826251195408572,0.8247010582293043,37.401574803149565,7.203571428571432,0.02806768528568647,1.454490065802076,3.155144694533748,6.701733878823296,0.7936046511627899,-0.8038585209003215,0.7550577089167301,-2.7171229487773925,-4.745138346258329,4.4842674471560064,6.929361487486772,0,9.849999999999966,17.19999999999999,3.5500000000000114,3.8000000000000114,1,0,0.5726744182716993,0.2063953487172128,0.2209302324296925,0,0,0,0.06701733878823296,False,1,0.1860714524400643,208.8,1,18.64406779661016,273.75,16,6.662770309760384,,,,
991,485.0,522.5,482.0,515.05,15.21105,NSE:ABDL-EQ,2025-07-31,471.87034564987897,440.78527963489466,393.678546153545,1.0705220148021555,1.119657862846752,0.9161641503735152,0.8558106584504315,0.764350152710504,70.67073170731707,21.307142857142857,0.04136907651129572,2.4970267569548477,4.282243369103053,7.863314241335793,0.8160493827160482,-1.8019842073294143,5.368857489668707,0.24906717404422554,-2.6725537861457047,11.039734783805057,14.858743778438244,1,30.049999999999955,40.5,7.4500000000000455,3.0,1,0,0.7419753084587704,0.18395061723853184,0.07407407405578417,0,0,0,0.07863314241335793,False,1,0.9633586990395919,454.8,2,11.69789340840694,540.8025,1,5.0000000000000115,,,,
1115,867.4,882.95,850.0,858.2,2.29589,NSE:ABSLAMC-EQ,2025-07-31,852.6099202767309,805.309417438615,722.2557623804574,1.0587358123645951,1.1149920282870764,0.9934862739183534,0.9383703302710499,0.8415937571433901,54.217233009708764,23.064285714285713,0.026875187269034855,0.6376167941646603,-2.4938930864057185,3.839431367979497,0.24886191198786142,-1.4486167130602738,-1.0537966656674413,-2.638240481730832,-3.59200116920817,0.5830700479861701,1.621672058977991,0,9.199999999999932,32.950000000000045,15.550000000000068,8.200000000000045,0,1,0.2792109255601763,0.4719271622239992,0.24886191191233428,0,0,0,0.03839431367979497,True,1,0.5167004503716524,849.05,11,1.0661850384525857,901.25,3,5.016313213703095,,,,
1239,1810.1,1827.9,1782.0,1788.4,15.24691,NSE:ACC-EQ,2025-07-31,1896.5998129014838,1910.5065547391264,1941.9311466608835,0.9927209138313888,0.9838178650279176,1.0605009018684208,1.068276982072873,1.0858483262474186,10.01236093943146,36.62142857142861,0.02047720228775923,3.790529343698301,-1.2588339222614815,2.5665399239543776,0.1394335511982588,-0.06073321554771071,-2.5724278445429896,-5.000165734445821,-6.4404776453217325,-0.017353284243221953,1.6292503120934017,0,21.699999999999818,45.90000000000009,17.800000000000182,6.400000000000091,0,1,0.47276688442858616,0.38779956418566774,0.13943355116788111,0,0,0,0.025665399239543776,True,1,0.0,1778.45,7,0.5563632297025299,1813.4,8,1.3978975620666518,,,,
